BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by Laffey Real Estate,House for sale,839000,4,2,2184.207862,158-35 87th St,"Howard Beach, NY 11414"
Brokered by CENTURY 21 PROFESSIONAL REALTY,House for sale,659000,8,3,2184.207862,148-05 111th Ave,"Jamaica, NY 11435"
Brokered by CENTURY 21 PROFESSIONAL REALTY,House for sale,659000,8,3,2184.207862,148-05 111th Ave,"Jamaica, NY 11435"
Brokered by Anthony Napolitano Homes,House for sale,399999,3,1,2184.207862,178 Beach 24th St,"Far Rockaway, NY 11691"
Brokered by Homefinders of SI Inc.,Condo for sale,250000,3,1,2184.207862,3105 Avenue V Apt 1F,"Brooklyn, NY 11229"
Built by Toll Brothers,For sale,1740000,2,2,1132,The Rockwell # 6H,"New York, NY 10025"
Brokered by Epiphany Realty Llc,House for sale,650000,4,2,2244,115115 220th St,"Cambria Heights, NY 11411"
Brokered by Re/Max Edge,House for sale,1165000,3,4,3500,67 Dexter Ave,"Staten Island, NY 10309"
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,729900,3,2,1150,447 Vernon Ave,"Staten Island, NY 10309"
Brokered by Winzone Realty Inc,House for sale,1880000,3,4,3150,3758 Bayview Ave,"Brooklyn, NY 11224"
Brokered by Charles H. Greenthal Property,Co-op for sale,449000,2,2,1549,26910 Grand Central Pkwy Apt 22L,"Floral Park, NY 11005"
Brokered by Keller Williams City Views,House for sale,1175000,3,2,2250,251 Beach 140th St,"Rockaway Park, NY 11694"
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,2750000,3,2,2184.207862,16 Gay St,"New York, NY 10014"
Brokered by Hauseit LLC,House for sale,995000,3,2,2184.207862,159-03 83rd St,"Howard Beach, NY 11414"
Brokered by COMPASS,Condo for sale,2000000,3,2,2000,200 Rector Pl Unit 27EF,"Manhattan, NY 10280"
Brokered by Leven Real Estate - Head Office,Townhouse for sale,15000000,8,6,2184.207862,126 Pierrepont St,"Brooklyn, NY 11201"
Brokered by RE MAX Edge,House for sale,2800000,4,6,8333,25 Copperleaf Ter,"Staten Island, NY 10304"
Brokered by Keller Williams Rlty Landmark,House for sale,2600000,5,4,3024,214-42 27th Ave,"Bayside, NY 11360"
Brokered by Corcoran West Side,Townhouse for sale,3500000,6,6,6000,51 Hamilton Ter,"New York, NY 10031"
Brokered by Corcoran East Side,Co-op for sale,550000,1,1,2184.207862,609 Columbus Ave Apt 10I,"New York, NY 10024"
Brokered by E House Realty & Mgt. Inc.,Pending,769000,3,4,2184.207862,290 Lake Ave,"Staten Island, NY 10303"
Brokered by TALK OF THE TOWN REALTY C,House for sale,675000,3,2,2400,2519 Mill Ave,"Brooklyn, NY 11234"
Brokered by Gateway Arms Realty Corp.,House for sale,879000,4,2,1238,48 Princewood Ave,"Staten Island, NY 10309"
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,918888,3,2,2184.207862,30-36 88th St,"East Elmhurst, NY 11369"
Brokered by COMPASS,Townhouse for sale,2400000,4,2,1892,396 A 9th St Unit 2,"Brooklyn, NY 11215"
Brokered by Jamie & Connie Real Estate Grp,House for sale,1730000,6,2.373860858,3024,45-12 244th St,"Little Neck, NY 11362"
Brokered by Sowae Corp,Multi-family home for sale,425000,5,2,2184.207862,755 Coster St,"Bronx, NY 10474"
Brokered by East Coast REALTORS Inc,House for sale,2500000,5,2.373860858,1450,33-02 Parsons Blvd,"Flushing, NY 11354"
Brokered by RE MAX Elite,House for sale,998000,4,4,2000,336 Bethel Ave,"Staten Island, NY 10307"
Brokered by Coldwell Banker Advantage,House for sale,1195000,4,4,2688,222 Hart Blvd,"Staten Island, NY 10301"
Brokered by RE MAX Real Estate Professionals,House for sale,1649000,3,2,2052,1217 84th St,"Brooklyn, NY 11228"
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,955000,4,4,2100,82 Vineland Ave,"Staten Island, NY 10312"
Brokered by LJ Realty Team Inc,Multi-family home for sale,949000,6,3,2184.207862,117-37 141st St,"Jamaica, NY 11436"
Brokered by Keller Williams Rlty Landmark,House for sale,880000,3,2,1743,190-16 33rd Ave,"Flushing, NY 11358"
Brokered by COMPASS,Townhouse for sale,39995000,4,2.373860858,10582,145 Reade St,"Manhattan, NY 10013"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,1250000,8,2.373860858,2184.207862,246 E 58th St # Th,"New York, NY 10022"
"Brokered by Tom Crimmins Realty, Ltd.",Contingent,899999,3,2,1784,61 Prescott Ave,"Staten Island, NY 10306"
